date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Google,340,168,github.com,174,56,search.brave.com,21,14,linkedin.com,20,17,Bing,12,8,com.linkedin.android,4,4,chocapikk.com,4,3,DuckDuckGo,3,2,webfx.com,3,1,t.co,2,2
2026-03-19,Google,326,161,github.com,183,59,search.brave.com,22,15,Bing,12,8,linkedin.com,8,6,DuckDuckGo,3,3,yandex.ru,3,3,chocapikk.com,3,2,webfx.com,3,1,t.co,2,2
2026-03-20,Google,336,157,github.com,180,56,search.brave.com,22,15,Bing,12,8,linkedin.com,8,6,DuckDuckGo,3,3,yandex.ru,3,3,webfx.com,3,1,chocapikk.com,2,2,l.facebook.com,2,1
2026-03-21,Google,329,157,github.com,197,62,search.brave.com,22,15,Bing,10,8,linkedin.com,8,6,DuckDuckGo,4,4,yandex.ru,3,3,webfx.com,3,1,l.facebook.com,2,1,chocapikk.com,1,1
2026-03-22,Google,333,158,github.com,179,59,search.brave.com,24,17,Bing,8,7,linkedin.com,5,4,DuckDuckGo,4,4,yandex.ru,3,3,t.co,3,2,webfx.com,3,1,l.facebook.com,2,1
2026-03-23,Google,345,158,github.com,184,61,search.brave.com,24,17,Bing,7,6,DuckDuckGo,4,4,linkedin.com,4,3,yandex.ru,3,3,t.co,3,2,l.facebook.com,2,1,chatgpt.com,1,1
2026-03-24,Google,341,156,github.com,172,54,search.brave.com,24,17,Bing,6,5,DuckDuckGo,4,4,yandex.ru,3,3,linkedin.com,3,2,t.co,3,2,l.facebook.com,2,1,chatgpt.com,1,1
2026-03-25,Google,285,157,github.com,167,52,search.brave.com,23,16,linkedin.com,12,8,com.linkedin.android,8,7,DuckDuckGo,7,6,Bing,6,5,yandex.ru,3,3,t.co,3,2,lnkd.in,2,2
2026-03-26,Google,306,170,github.com,164,56,search.brave.com,18,16,com.linkedin.android,14,12,linkedin.com,9,6,Bing,8,7,DuckDuckGo,8,7,t.co,6,3,chatgpt.com,4,4,yandex.ru,3,3
2026-03-27,Google,332,187,github.com,153,54,search.brave.com,19,17,com.linkedin.android,15,13,linkedin.com,15,11,DuckDuckGo,9,8,Bing,8,8,t.co,6,3,yandex.ru,5,4,chatgpt.com,4,4
2026-03-28,Google,386,209,github.com,154,58,search.brave.com,18,17,linkedin.com,16,12,com.linkedin.android,15,13,Bing,12,9,DuckDuckGo,11,10,t.co,6,3,yandex.ru,5,4,chatgpt.com,4,4
2026-03-29,Google,421,231,github.com,158,60,linkedin.com,16,12,com.linkedin.android,15,13,search.brave.com,13,13,DuckDuckGo,13,12,Bing,11,8,yandex.ru,6,5,t.co,6,3,chatgpt.com,4,4
2026-03-30,Google,448,242,github.com,139,56,DuckDuckGo,16,14,linkedin.com,16,12,com.linkedin.android,15,13,t.co,13,9,Bing,11,8,search.brave.com,10,10,yandex.ru,8,7,chatgpt.com,4,4
2026-03-31,Google,460,252,github.com,126,55,DuckDuckGo,25,17,t.co,19,10,linkedin.com,16,12,com.linkedin.android,15,13,Bing,11,8,search.brave.com,10,10,yandex.ru,8,6,chatgpt.com,4,4
2026-04-01,Google,466,255,github.com,122,51,DuckDuckGo,25,17,t.co,19,10,linkedin.com,16,12,com.linkedin.android,15,13,Bing,11,8,search.brave.com,10,10,yandex.ru,8,6,chatgpt.com,5,5
2026-04-02,Google,479,268,github.com,119,52,DuckDuckGo,28,18,t.co,23,11,linkedin.com,16,12,com.linkedin.android,15,13,Bing,11,8,search.brave.com,8,8,yandex.ru,6,4,chatgpt.com,5,5
2026-04-03,Google,470,265,github.com,120,57,DuckDuckGo,27,17,t.co,26,12,com.linkedin.android,16,14,linkedin.com,16,12,Bing,11,8,search.brave.com,8,8,yandex.ru,6,4,chatgpt.com,5,5
2026-04-04,Google,465,265,github.com,113,55,t.co,40,18,DuckDuckGo,26,16,com.linkedin.android,16,14,linkedin.com,16,12,Bing,12,9,search.brave.com,8,8,yandex.ru,6,4,chatgpt.com,5,5
2026-04-05,Google,461,267,github.com,114,57,t.co,40,17,DuckDuckGo,27,17,com.linkedin.android,16,14,linkedin.com,16,12,Bing,12,9,search.brave.com,10,7,yandex.ru,6,4,chatgpt.com,5,5
2026-04-06,Google,448,260,github.com,114,60,t.co,49,18,DuckDuckGo,27,17,com.linkedin.android,16,14,linkedin.com,16,12,search.brave.com,15,10,Bing,12,9,chatgpt.com,6,5,yandex.ru,6,4
2026-04-07,Google,451,257,github.com,115,60,t.co,54,18,DuckDuckGo,28,18,com.linkedin.android,16,14,linkedin.com,16,12,search.brave.com,16,10,Bing,13,10,chatgpt.com,9,5,yandex.ru,6,4
2026-04-08,Google,459,272,github.com,115,62,t.co,55,19,DuckDuckGo,26,18,search.brave.com,16,10,Bing,14,11,chatgpt.com,9,5,com.linkedin.android,8,7,linkedin.com,7,6,packetstorm.news,6,5
