date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,github.com,26,3,Google,12,11,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-19,github.com,28,4,Google,8,8,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-20,github.com,29,5,Google,14,10,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-21,github.com,29,5,Google,17,12,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-22,github.com,29,5,Google,18,13,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-23,github.com,29,5,Google,19,14,search.brave.com,3,3,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-24,github.com,27,3,Google,19,14,DuckDuckGo,2,2,search.brave.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-25,github.com,33,7,Google,18,13,DuckDuckGo,2,2,search.brave.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-26,github.com,41,8,Google,27,13,DuckDuckGo,2,2,search.brave.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-27,Google,26,12,github.com,17,8,DuckDuckGo,2,2,search.brave.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-03-28,github.com,28,9,Google,26,12,DuckDuckGo,2,2,search.brave.com,2,2,,,,,,,,,,,,,,,,,,
2026-03-29,github.com,30,11,Google,29,15,search.brave.com,3,3,DuckDuckGo,2,2,,,,,,,,,,,,,,,,,,
2026-03-30,github.com,32,11,Google,28,14,search.brave.com,3,3,DuckDuckGo,2,2,,,,,,,,,,,,,,,,,,
2026-03-31,github.com,35,14,Google,28,14,search.brave.com,3,3,DuckDuckGo,2,2,,,,,,,,,,,,,,,,,,
2026-04-01,github.com,37,15,Google,29,15,DuckDuckGo,2,2,search.brave.com,2,2,,,,,,,,,,,,,,,,,,
2026-04-02,github.com,39,17,Google,29,15,DuckDuckGo,2,2,search.brave.com,2,2,,,,,,,,,,,,,,,,,,
2026-04-03,github.com,38,16,Google,22,13,DuckDuckGo,2,2,search.brave.com,2,2,,,,,,,,,,,,,,,,,,
2026-04-04,github.com,46,18,Google,19,10,DuckDuckGo,2,2,search.brave.com,2,2,,,,,,,,,,,,,,,,,,
2026-04-05,github.com,48,20,Google,17,8,search.brave.com,2,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,
2026-04-06,github.com,48,20,Google,16,7,search.brave.com,2,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,
2026-04-07,github.com,48,20,Google,15,6,search.brave.com,2,2,,,,,,,,,,,,,,,,,,,,,
2026-04-08,github.com,42,17,Google,15,6,search.brave.com,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,
2026-04-09,github.com,34,15,Google,4,4,search.brave.com,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,
2026-04-10,github.com,42,17,Google,5,5,search.brave.com,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,
2026-04-11,github.com,41,17,Google,5,5,search.brave.com,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,
2026-04-12,github.com,39,15,Google,3,3,Bing,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-13,github.com,37,14,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-14,github.com,35,12,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-15,github.com,34,12,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-16,github.com,36,10,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-17,github.com,36,10,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-18,github.com,28,9,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-19,github.com,26,7,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-20,github.com,26,7,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-21,github.com,27,7,Google,5,3,Bing,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-22,github.com,27,7,Google,5,3,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-23,github.com,27,7,Google,5,3,Bing,3,1,chatgpt.com,2,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2026-04-24,github.com,19,5,Google,4,2,Bing,3,1,chatgpt.com,2,1,search.brave.com,1,1,,,,,,,,,,,,,,,
