date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Google,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,Google,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,Google,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,Google,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,Google,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,Google,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,Google,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,Google,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Google,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Google,18,11,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Google,18,11,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Google,19,12,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Google,20,13,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Google,19,12,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Google,21,14,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,Google,21,14,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Google,19,12,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Google,18,11,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,Google,19,12,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,Google,18,11,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,Google,18,11,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,Google,18,10,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Google,11,10,search.brave.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,Google,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,Google,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12,Google,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,Google,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,Google,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,Google,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,Google,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,Google,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
