date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,Bing,14,2,Google,11,5,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-19,Bing,14,2,Google,11,5,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-20,Bing,13,1,Google,11,5,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-21,Bing,13,1,Google,10,4,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-22,Bing,13,1,Google,10,4,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-23,Bing,13,1,Google,9,3,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-24,Bing,13,1,Google,8,2,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-25,Bing,13,1,Google,8,2,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Bing,13,1,Google,8,2,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Bing,13,1,Google,9,3,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Bing,13,1,Google,9,3,DuckDuckGo,3,1,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Bing,13,1,Google,10,4,DuckDuckGo,3,1,github.com,2,1,,,,,,,,,,,,,,,,,,
2026-03-30,Google,6,3,DuckDuckGo,4,2,github.com,2,1,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Google,6,3,github.com,2,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Google,6,3,github.com,2,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-02,Google,6,3,github.com,2,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Google,7,4,github.com,2,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Google,7,4,github.com,2,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-05,Google,7,4,github.com,3,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-06,Google,7,4,github.com,3,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-07,Google,7,4,github.com,3,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-08,Google,7,4,github.com,5,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Google,7,4,github.com,5,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-10,github.com,6,4,Google,6,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-11,github.com,8,5,Google,6,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-12,github.com,6,4,Google,5,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2026-04-13,github.com,6,4,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,github.com,6,4,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
