date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-04-08,t.co,61,44,github.com,40,12,wid.cert-bund.de,10,10,chocapikk.com,9,1,DuckDuckGo,2,2,com.slack,2,1,dcert-backend.cdc.telekom.de,1,1,statics.teams.cdn.office.net,1,1,,,,,,
2026-04-09,t.co,121,86,github.com,96,30,wid.cert-bund.de,34,23,chocapikk.com,16,3,Google,11,6,DuckDuckGo,6,6,statics.teams.cdn.office.net,5,3,nvd.nist.gov,4,4,chatgpt.com,3,1,euc-excel.officeapps.live.com,3,1
2026-04-10,t.co,129,91,github.com,109,36,wid.cert-bund.de,39,26,Google,17,9,chocapikk.com,17,4,DuckDuckGo,13,7,statics.teams.cdn.office.net,7,4,nvd.nist.gov,5,5,chatgpt.com,3,1,euc-excel.officeapps.live.com,3,1
2026-04-11,t.co,130,92,github.com,112,38,wid.cert-bund.de,41,27,Google,19,11,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,7,7,statics.teams.cdn.office.net,7,4,com.linkedin.android,3,3
2026-04-12,t.co,132,94,github.com,114,40,wid.cert-bund.de,41,27,Google,19,11,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,7,7,statics.teams.cdn.office.net,7,4,com.linkedin.android,3,3
2026-04-13,t.co,134,95,github.com,115,41,wid.cert-bund.de,41,27,Google,20,12,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,com.linkedin.android,3,3
2026-04-14,t.co,135,96,github.com,118,43,wid.cert-bund.de,41,27,Google,22,13,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,com.linkedin.android,3,3
2026-04-15,t.co,138,98,github.com,119,44,wid.cert-bund.de,41,27,Google,28,16,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-16,t.co,139,99,github.com,121,46,wid.cert-bund.de,41,27,Google,34,19,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-17,t.co,140,100,github.com,123,46,wid.cert-bund.de,41,27,Google,38,21,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-18,t.co,141,101,github.com,125,47,Google,42,23,wid.cert-bund.de,41,27,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-19,t.co,141,101,github.com,126,48,Google,43,24,wid.cert-bund.de,41,27,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-20,t.co,142,102,github.com,130,50,Google,45,26,wid.cert-bund.de,41,27,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4,tip.byd.com,7,1
2026-04-21,t.co,142,102,github.com,130,50,Google,46,27,wid.cert-bund.de,41,27,jira.esafeline.com,27,2,chocapikk.com,17,4,DuckDuckGo,13,7,yandex.ru,10,1,nvd.nist.gov,8,8,statics.teams.cdn.office.net,7,4
2026-04-22,github.com,91,41,t.co,82,66,Google,46,27,wid.cert-bund.de,33,19,jira.esafeline.com,28,3,DuckDuckGo,11,5,yandex.ru,10,1,nvd.nist.gov,9,9,chocapikk.com,8,3,tip.byd.com,7,1
2026-04-23,github.com,40,27,Google,38,24,jira.esafeline.com,28,3,t.co,23,23,yandex.ru,10,1,wid.cert-bund.de,9,6,DuckDuckGo,7,1,tip.byd.com,7,1,jira.greenbone.net,6,2,nvd.nist.gov,5,5
2026-04-24,Google,34,22,github.com,33,23,jira.esafeline.com,28,3,t.co,16,16,yandex.ru,10,1,tip.byd.com,7,1,jira.greenbone.net,6,2,nvd.nist.gov,5,5,search.brave.com,5,1,wid.cert-bund.de,4,3
2026-04-25,Google,37,22,github.com,30,20,jira.esafeline.com,28,3,t.co,17,16,jira.greenbone.net,6,2,search.brave.com,5,1,tip.byd.com,4,1,nvd-admin.nist.gov,3,3,nvd.nist.gov,3,3,virustotal.com,3,1
2026-04-26,Google,37,22,github.com,30,20,jira.esafeline.com,28,3,t.co,17,16,jira.greenbone.net,6,2,search.brave.com,5,1,tip.byd.com,4,1,nvd-admin.nist.gov,3,3,nvd.nist.gov,3,3,virustotal.com,3,1
2026-04-27,Google,39,23,github.com,28,18,jira.esafeline.com,28,3,t.co,13,12,jira.greenbone.net,6,2,search.brave.com,5,1,tip.byd.com,4,1,nvd-admin.nist.gov,3,3,virustotal.com,3,1,nvd.nist.gov,2,2
2026-04-28,Google,51,26,github.com,28,19,jira.esafeline.com,28,3,t.co,12,11,jira.greenbone.net,6,2,search.brave.com,5,1,tip.byd.com,4,1,virustotal.com,3,1,nvd-admin.nist.gov,2,2,nvd.nist.gov,2,2
2026-04-29,Google,51,26,github.com,28,19,jira.esafeline.com,28,3,t.co,12,11,jira.greenbone.net,6,2,search.brave.com,5,1,tip.byd.com,4,1,virustotal.com,3,1,nvd-admin.nist.gov,2,2,nvd.nist.gov,2,2
2026-04-30,Google,41,24,github.com,39,21,jira.esafeline.com,28,3,t.co,9,8,x.threatbook.com,4,1,virustotal.com,3,1,nvd.nist.gov,2,2,wid.cert-bund.de,2,1,DuckDuckGo,1,1,claude.ai,1,1
2026-05-01,Google,39,22,github.com,39,22,jira.esafeline.com,28,3,t.co,8,7,x.threatbook.com,4,1,nvd.nist.gov,2,2,virustotal.com,2,1,wid.cert-bund.de,2,1,DuckDuckGo,1,1,claude.ai,1,1
2026-05-02,Google,42,21,github.com,40,21,jira.esafeline.com,28,3,t.co,7,6,x.threatbook.com,4,1,nvd.nist.gov,2,2,virustotal.com,2,1,wid.cert-bund.de,2,1,DuckDuckGo,1,1,claude.ai,1,1
2026-05-03,Google,43,22,github.com,39,20,jira.esafeline.com,28,3,t.co,7,6,x.threatbook.com,4,1,nvd.nist.gov,2,2,virustotal.com,2,1,wid.cert-bund.de,2,1,DuckDuckGo,1,1,claude.ai,1,1
2026-05-04,Google,41,20,github.com,38,20,jira.esafeline.com,28,3,t.co,6,5,x.threatbook.com,4,1,nvd.nist.gov,2,2,virustotal.com,2,1,wid.cert-bund.de,2,1,DuckDuckGo,1,1,claude.ai,1,1
2026-05-05,Google,43,21,github.com,38,20,t.co,6,5,x.threatbook.com,4,1,wid.cert-bund.de,3,2,nvd.nist.gov,2,2,DuckDuckGo,1,1,claude.ai,1,1,jira.esafeline.com,1,1,jvndb.jvn.jp,1,1
2026-05-06,Google,43,21,github.com,37,19,t.co,5,4,x.threatbook.com,4,1,DuckDuckGo,1,1,jvndb.jvn.jp,1,1,nvd-admin.nist.gov,1,1,nvd.nist.gov,1,1,wid.cert-bund.de,1,1,ya.ru,1,1
2026-05-07,Google,41,19,github.com,40,20,t.co,4,3,x.threatbook.com,4,1,DuckDuckGo,1,1,jvndb.jvn.jp,1,1,nvd-admin.nist.gov,1,1,nvd.nist.gov,1,1,wid.cert-bund.de,1,1,ya.ru,1,1
2026-05-08,Google,42,19,github.com,36,19,x.threatbook.com,4,1,t.co,3,3,nvd.nist.gov,2,2,DuckDuckGo,1,1,jvndb.jvn.jp,1,1,nvd-admin.nist.gov,1,1,wid.cert-bund.de,1,1,ya.ru,1,1
2026-05-09,Google,37,17,github.com,36,19,x.threatbook.com,4,1,nvd.nist.gov,2,2,jvndb.jvn.jp,1,1,t.co,1,1,wid.cert-bund.de,1,1,ya.ru,1,1,,,,,,
2026-05-10,Google,37,17,github.com,36,19,x.threatbook.com,4,1,nvd.nist.gov,2,2,jvndb.jvn.jp,1,1,t.co,1,1,wid.cert-bund.de,1,1,ya.ru,1,1,,,,,,
2026-05-11,github.com,37,20,Google,36,16,x.threatbook.com,4,1,nvd.nist.gov,2,2,jvndb.jvn.jp,1,1,t.co,1,1,wid.cert-bund.de,1,1,,,,,,,,,
2026-05-12,github.com,37,19,Google,22,13,x.threatbook.com,4,1,jvndb.jvn.jp,2,2,nvd.nist.gov,2,2,cve.threatint.eu,1,1,t.co,1,1,wid.cert-bund.de,1,1,,,,,,
2026-05-13,github.com,37,19,Google,22,13,x.threatbook.com,4,1,jvndb.jvn.jp,2,2,nvd.nist.gov,2,2,cve.threatint.eu,1,1,wid.cert-bund.de,1,1,,,,,,,,,
2026-05-14,github.com,27,17,Google,23,13,jvndb.jvn.jp,2,2,nvd.nist.gov,2,2,cve.threatint.eu,1,1,wid.cert-bund.de,1,1,,,,,,,,,,,,
2026-05-15,github.com,26,17,Google,22,13,jvndb.jvn.jp,2,2,nvd.nist.gov,2,2,cve.threatint.eu,1,1,wid.cert-bund.de,1,1,,,,,,,,,,,,
2026-05-16,github.com,25,17,Google,16,13,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,wid.cert-bund.de,1,1,,,,,,,,,,,,
2026-05-17,github.com,26,18,Google,15,12,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,wid.cert-bund.de,1,1,,,,,,,,,,,,
2026-05-18,github.com,23,15,Google,18,12,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,wid.cert-bund.de,1,1,,,,,,,,,,,,
2026-05-19,github.com,23,15,Google,17,11,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,
2026-05-20,github.com,24,16,Google,17,11,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,
2026-05-21,github.com,16,12,Google,16,10,nvd.nist.gov,2,2,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,
2026-05-22,github.com,14,11,Google,13,7,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,,,,
2026-05-23,github.com,16,13,Google,14,8,enterprisetools.atlassian.net,2,1,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,
2026-05-24,github.com,16,13,Google,12,7,enterprisetools.atlassian.net,2,1,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,,,,
2026-05-25,github.com,14,11,Google,12,7,enterprisetools.atlassian.net,2,1,chocapikk.com,1,1,cve.threatint.eu,1,1,jvndb.jvn.jp,1,1,,,,,,,,,,,,
2026-05-26,Google,14,8,github.com,12,10,enterprisetools.atlassian.net,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-05-27,Google,18,9,github.com,9,9,enterprisetools.atlassian.net,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-05-28,Google,16,8,github.com,13,11,enterprisetools.atlassian.net,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-05-29,Google,16,8,github.com,14,11,enterprisetools.atlassian.net,2,1,yandex.ru,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-30,Google,16,8,github.com,12,9,enterprisetools.atlassian.net,2,1,yandex.ru,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-31,Google,16,9,github.com,11,8,enterprisetools.atlassian.net,2,1,yandex.ru,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
