date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-19,t.co,95,49,Google,16,5,github.com,5,4,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-19,t.co,95,49,Google,16,5,github.com,5,4,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-20,t.co,95,49,Google,16,5,github.com,5,4,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-21,t.co,71,34,Google,16,5,github.com,5,4,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-22,t.co,37,9,Google,16,5,github.com,4,3,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-23,t.co,31,5,Google,17,6,github.com,5,4,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-24,t.co,29,4,Google,17,6,github.com,3,2,Bing,2,2,,,,,,,,,,,,,,,,,,
2026-03-25,t.co,29,5,Google,17,6,Bing,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-26,t.co,27,4,Google,12,6,Bing,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-27,t.co,15,2,Google,9,4,Bing,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-28,t.co,13,2,Google,2,2,Bing,1,1,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,
2026-03-29,t.co,6,2,Google,2,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-30,t.co,4,2,Google,2,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,
2026-03-31,t.co,4,2,Google,2,2,github.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-01,Google,4,3,github.com,2,2,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-02,Google,6,5,github.com,2,2,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-03,Google,6,5,github.com,2,2,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-04,Google,16,7,DuckDuckGo,3,1,github.com,2,2,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-04-05,Google,16,7,DuckDuckGo,3,1,github.com,2,2,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-04-06,Google,15,6,DuckDuckGo,3,1,t.co,2,1,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,
2026-04-07,Google,15,6,github.com,3,2,DuckDuckGo,3,1,t.co,2,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-04-08,t.co,26,21,Google,24,6,github.com,4,3,DuckDuckGo,3,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-04-09,Google,42,6,t.co,40,29,github.com,4,3,DuckDuckGo,3,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-04-10,Google,46,6,t.co,41,29,github.com,8,7,chocapikk.com,5,3,DuckDuckGo,3,1,,,,,,,,,,,,,,,
2026-04-11,Google,47,7,t.co,43,30,github.com,11,8,chocapikk.com,4,2,DuckDuckGo,3,1,,,,,,,,,,,,,,,
2026-04-12,Google,60,7,t.co,45,31,github.com,16,9,chocapikk.com,4,2,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-13,Google,60,7,t.co,45,31,github.com,17,9,chocapikk.com,7,3,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-14,Google,64,7,t.co,44,30,github.com,17,9,chocapikk.com,7,3,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-15,Google,67,6,t.co,44,30,github.com,17,9,chocapikk.com,7,3,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-16,Google,71,4,t.co,44,30,github.com,17,9,chocapikk.com,7,3,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-17,Google,71,4,t.co,44,30,github.com,17,9,chocapikk.com,7,3,DuckDuckGo,3,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,
2026-04-18,Google,65,3,t.co,44,30,github.com,18,10,chocapikk.com,7,3,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-19,Google,65,3,t.co,44,30,github.com,18,10,chocapikk.com,8,3,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-20,Google,65,3,t.co,44,30,github.com,18,10,chocapikk.com,8,3,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-21,Google,65,3,t.co,44,30,github.com,16,9,chocapikk.com,8,3,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-22,Google,57,4,t.co,19,14,github.com,15,9,chocapikk.com,8,3,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-23,Google,40,4,github.com,15,9,chocapikk.com,8,3,t.co,6,5,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-24,Google,36,4,github.com,12,7,t.co,6,5,chocapikk.com,4,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-25,Google,35,4,github.com,9,6,t.co,5,4,chocapikk.com,4,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-26,Google,35,4,github.com,9,6,t.co,5,4,chocapikk.com,4,1,org.telegram.messenger.web,1,1,,,,,,,,,,,,,,,
2026-04-27,Google,23,5,github.com,3,3,t.co,3,2,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-28,Google,27,6,t.co,3,2,github.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-29,Google,27,6,t.co,3,2,github.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,
2026-04-30,Google,15,4,github.com,3,2,t.co,3,2,chocapikk.com,2,2,,,,,,,,,,,,,,,,,,
2026-05-01,Google,15,4,github.com,3,2,t.co,3,2,chocapikk.com,2,2,,,,,,,,,,,,,,,,,,
2026-05-02,Google,11,4,t.co,3,2,chocapikk.com,2,2,github.com,2,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,
2026-05-03,Google,11,4,t.co,3,2,github.com,2,2,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-04,Google,12,5,github.com,3,3,t.co,3,2,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-05,Google,12,5,github.com,11,4,t.co,3,2,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-06,Google,12,5,github.com,11,4,t.co,3,2,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-07,Google,11,4,github.com,11,4,t.co,2,1,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-08,Google,11,4,github.com,11,4,t.co,2,2,DuckDuckGo,1,1,chocapikk.com,1,1,,,,,,,,,,,,,,,
2026-05-09,Google,11,4,github.com,11,4,DuckDuckGo,1,1,chocapikk.com,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-10,Google,14,4,github.com,11,4,DuckDuckGo,1,1,chocapikk.com,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-11,Google,14,4,github.com,11,4,DuckDuckGo,1,1,chocapikk.com,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-12,github.com,11,4,Google,6,3,DuckDuckGo,1,1,chocapikk.com,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-13,github.com,11,4,Google,11,3,DuckDuckGo,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-14,Google,16,4,github.com,10,3,DuckDuckGo,1,1,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-15,Google,16,4,github.com,10,3,DuckDuckGo,1,1,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,
2026-05-16,Google,16,4,github.com,10,3,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-17,Google,16,4,github.com,10,3,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-18,Google,15,3,github.com,10,3,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-19,Google,15,3,github.com,2,2,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-20,Google,14,2,github.com,2,2,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-21,Google,14,2,github.com,2,2,search.nixos.org,1,1,t.co,1,1,,,,,,,,,,,,,,,,,,
2026-05-22,Google,16,2,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-23,Google,17,2,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-24,Google,14,2,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-25,Google,14,2,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-26,Google,16,2,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-27,Google,12,3,github.com,2,2,search.nixos.org,1,1,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Google,7,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Google,7,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Google,7,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Google,7,2,github.com,2,2,chocapikk.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-01,Google,7,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-03,Google,7,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Google,7,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Google,7,2,chocapikk.com,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
