date,count,uniques
2026-05-03,0,0
2026-05-04,2,1
2026-05-05,2,1
2026-05-06,0,0
2026-05-07,0,0
2026-05-08,0,0
2026-05-09,1,1
2026-05-10,0,0
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,0,0
2026-05-14,0,0
2026-05-15,0,0
2026-05-16,0,0
2026-05-17,0,0
2026-05-18,0,0
2026-05-19,0,0
2026-05-20,0,0
2026-05-21,0,0
2026-05-22,0,0
2026-05-23,0,0
2026-05-24,2,1
2026-05-25,1,1
2026-05-26,0,0
2026-05-27,1,1
2026-05-28,4,1
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-03,2,1
2026-06-04,0,0
2026-06-05,1,1
2026-06-06,0,0
2026-06-07,2,2
2026-06-12,0,0
2026-06-13,0,0
2026-06-15,0,0
2026-06-16,0,0
2026-06-18,0,0
2026-06-19,0,0
2026-06-20,0,0
2026-06-21,0,0
2026-06-22,3,2
2026-06-23,0,0
2026-06-24,0,0
2026-06-25,0,0
2026-06-26,0,0
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,0,0
2026-06-30,0,0
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,0,0
2026-07-06,0,0
2026-07-07,0,0
2026-07-08,0,0
2026-07-09,0,0
2026-07-10,0,0
2026-07-11,0,0
2026-07-12,0,0
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,0,0
2026-07-16,3,1
2026-07-17,2,2
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,0,0
