date,count,uniques
2026-03-18,13,10
2026-03-19,12,11
2026-03-20,24,14
2026-03-21,38,21
2026-03-22,37,24
2026-03-23,32,20
2026-03-24,37,16
2026-03-25,30,19
2026-03-26,8,6
2026-03-27,16,8
2026-03-28,29,15
2026-03-29,34,25
2026-03-30,9,9
2026-03-31,22,14
2026-04-01,18,12
2026-04-02,23,17
2026-04-03,34,20
2026-04-04,27,17
2026-04-05,50,27
2026-04-06,21,10
2026-04-07,16,9
2026-04-08,24,11
2026-04-09,24,14
2026-04-10,14,12
2026-04-11,25,14
2026-04-12,24,9
2026-04-13,8,5
2026-04-14,6,6
2026-04-15,8,8
2026-04-16,24,10
2026-04-17,35,10
2026-04-18,23,14
2026-04-19,29,14
2026-04-20,10,6
2026-04-21,61,8
2026-04-22,9,9
2026-04-23,16,6
2026-04-24,11,4
2026-04-26,25,15
2026-04-27,8,7
2026-04-29,8,8
2026-04-30,25,10
2026-05-01,7,5
