date,count,uniques
2026-03-18,2,2
2026-03-19,8,4
2026-03-20,3,3
2026-03-21,4,4
2026-03-22,1,1
2026-03-23,2,2
2026-03-24,12,5
2026-03-25,23,6
2026-03-26,0,0
2026-03-27,11,1
2026-03-28,6,6
2026-03-29,3,2
2026-03-30,3,3
2026-03-31,3,2
2026-04-01,4,3
2026-04-02,0,0
2026-04-03,9,3
2026-04-04,2,2
2026-04-05,0,0
2026-04-06,1,1
2026-04-07,4,4
2026-04-08,1,1
2026-04-09,9,3
2026-04-10,10,1
2026-04-11,2,2
2026-04-12,0,0
2026-04-13,1,1
2026-04-14,2,2
2026-04-15,9,3
2026-04-16,0,0
2026-04-17,0,0
2026-04-18,0,0
2026-04-19,0,0
2026-04-20,5,3
2026-04-21,0,0
2026-04-22,5,2
2026-04-23,0,0
2026-04-24,0,0
